Number,Type,Name,Registration Point,Filename
1,bitmap,,"(290, 163)",
2,bitmap,,"(116, 85)",
3,bitmap,,"(116, 85)",
4,bitmap,,"(116, 85)",
5,bitmap,,"(116, 85)",
6,bitmap,,"(116, 85)",
7,bitmap,,"(116, 85)",
8,bitmap,,"(116, 85)",
9,bitmap,,"(116, 85)",
10,bitmap,,"(116, 85)",
11,bitmap,,"(116, 85)",
12,bitmap,,"(116, 85)",
13,bitmap,,"(116, 85)",
14,bitmap,,"(116, 85)",
15,bitmap,,"(116, 85)",
16,bitmap,,"(116, 85)",
17,bitmap,,"(116, 85)",
18,bitmap,,"(116, 85)",
19,bitmap,,"(116, 85)",
20,bitmap,,"(116, 85)",
21,bitmap,,"(116, 85)",
22,bitmap,,"(116, 85)",
23,bitmap,,"(116, 85)",
24,bitmap,,"(116, 85)",
25,bitmap,,"(116, 85)",
26,bitmap,,"(116, 85)",
27,bitmap,,"(116, 85)",
28,bitmap,,"(116, 85)",
29,bitmap,,"(116, 85)",
30,bitmap,,"(116, 85)",
31,bitmap,,"(116, 85)",
32,bitmap,,"(116, 85)",
33,bitmap,,"(290, 163)",
34,bitmap,,"(290, 163)",
35,bitmap,,"(290, 163)",
36,bitmap,,"(290, 163)",
37,bitmap,,"(290, 163)",
39,shape,,"(0, 0)",
40,sound,Rock.snd,"(0, 0)",
41,sound,Market.snd,"(0, 0)",
45,script,,"(0, 0)",
46,script,,"(0, 0)",
48,script,,"(0, 0)",
