Number,Type,Name,Registration Point,Filename
1,bitmap,,"(116, 3)",
2,bitmap,,"(290, 163)",
3,bitmap,,"(93, 55)",
4,bitmap,,"(96, 56)",
5,bitmap,,"(87, 61)",
6,bitmap,,"(97, 65)",
7,bitmap,,"(86, 74)",
8,bitmap,,"(89, 94)",
9,bitmap,,"(84, 103)",
10,bitmap,,"(67, 86)",
11,bitmap,,"(74, 89)",
12,bitmap,Back00.dif,"(290, 163)",
13,bitmap,,"(85, 82)",
14,bitmap,,"(97, 58)",
15,bitmap,,"(290, 97)",
16,bitmap,,"(290, 94)",
17,bitmap,,"(290, 93)",
18,bitmap,,"(290, 96)",
19,bitmap,,"(290, 98)",
20,bitmap,,"(290, 101)",
21,bitmap,,"(290, 101)",
22,bitmap,,"(290, 50)",
23,bitmap,,"(290, 85)",
24,bitmap,lastMsg,"(110, 6)",
25,sound,Ending.snd,"(0, 0)",
26,sound,ending.aif,"(0, 0)",
27,bitmap,,"(123, 162)",
28,bitmap,endtext02.pict,"(257, 209)",
29,script,,"(0, 0)",
30,script,,"(0, 0)",
31,script,,"(0, 0)",
32,script,,"(0, 0)",
33,script,,"(0, 0)",
36,script,,"(0, 0)",
37,script,,"(0, 0)",
